position label, joints, transformations
"home","[-0.00010759035219365387, -1.5708320776568812, 3.5762786865234375e-05, -1.5707605520831507, -8.374849428349762e-05, 3.5952674807049334e-05]","[0.003735968037449572, -0.36652102694668254, 0.6940584920830998, -0.011561827533650832, 2.218186013713531, -2.214169456609445]"
"startingPose","[0.1235596090555191, -2.938131634389059, -1.1763961950885218, 0.1486968994140625, 1.4940725564956665, 0.1416202038526535]","[0.6042572295873192, -0.056456771282833544, -0.10344243038322672, -1.7247097289354656, 1.8212367565195173, -0.6667222252982925]"
