0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-44.03,-44.03,-43.95,-43.97,-43.95,-43.9,-43.9,-43.8,-43.75,-43.75,-43.8,-43.75
-44.03,-44.03,-43.95,-43.97,-43.95,-43.9,-43.9,-43.8,-43.75,-43.75,-43.8,-43.75
-44.03,-44.03,-43.95,-44,-43.95,-43.9,-43.9,-43.8,-43.75,-43.8,-43.8,-43.7
-43.98,-43.98,-43.9,-43.9,-43.95,-43.85,-43.8,-43.75,-43.75,-43.75,-43.7,-43.7
-43.95,-43.95,-43.9,-43.85,-43.85,-43.8,-43.75,-43.75,-43.75,-43.75,-43.7,-43.7
-43.85,-43.9,-43.85,-43.85,-43.8,-43.8,-43.7,-43.75,-43.8,-43.75,-43.7,-43.7
-43.78,-43.82,-43.9,-43.85,-43.78,-43.75,-43.75,-43.7,-43.7,-43.75,-43.7,-43.67
-43.78,-43.82,-43.85,-43.8,-43.8,-43.75,-43.75,-43.7,-43.7,-43.7,-43.7,-43.67
-43.78,-43.85,-43.85,-43.8,-43.75,-43.8,-43.7,-43.7,-43.7,-43.7,-43.7,-43.65
-43.78,-43.8,-43.8,-43.75,-43.75,-43.7,-43.74,-43.7,-43.68,-43.75,-43.65,-43.62
-43.78,-43.8,-43.75,-43.75,-43.7,-43.65,-43.75,-43.65,-43.65,-43.7,-43.7,-43.67
-43.78,-43.75,-43.75,-43.8,-43.75,-43.7,-43.7,-43.65,-43.65,-43.7,-43.7,-43.67
-43.7,-43.7,-43.75,-43.75,-43.7,-43.65,-43.7,-43.65,-43.65,-43.73,-43.7,-43.62
-43.65,-43.7,-43.75,-43.7,-43.73,-43.73,-43.7,-43.65,-43.7,-43.7,-43.65,-43.62
-43.7,-43.7,-43.7,-43.7,-43.65,-43.65,-43.65,-43.6,-43.6,-43.6,-43.6,-43.58
-43.68,-43.68,-43.68,-43.63,-43.63,-43.63,-43.63,-43.63,-43.63,-43.63,-43.63,-43.58
-43.6,-43.65,-43.65,-43.65,-43.65,-43.6,-43.6,-43.6,-43.65,-43.68,-43.6,-43.58
-43.65,-43.65,-43.65,-43.6,-43.65,-43.68,-43.65,-43.65,-43.6,-43.6,-43.65,-43.62
-43.65,-43.65,-43.6,-43.65,-43.6,-43.65,-43.6,-43.55,-43.6,-43.6,-43.6,-43.6
-43.6,-43.6,-43.6,-43.6,-43.6,-43.6,-43.55,-43.6,-43.6,-43.6,-43.6,-43.6
-43.6,-43.6,-43.6,-43.6,-43.6,-43.6,-43.6,-43.6,-43.55,-43.63,-43.6,-43.6
-43.58,-43.58,-43.53,-43.53,-43.53,-43.53,-43.53,-43.58,-43.58,-43.61,-43.61,-43.63
-43.6,-43.55,-43.55,-43.55,-43.55,-43.55,-43.55,-43.55,-43.55,-43.64,-43.6,-43.6
-43.6,-43.55,-43.55,-43.55,-43.55,-43.55,-43.55,-43.55,-43.55,-43.63,-43.6,-43.6
-43.55,-43.55,-43.5,-43.55,-43.58,-43.55,-43.55,-43.55,-43.55,-43.55,-43.55,-43.55
-43.5,-43.5,-43.5,-43.5,-43.54,-43.5,-43.55,-43.5,-43.55,-43.55,-43.55,-38.55
-43.45,-43.45,-43.45,-43.45,-43.45,-43.45,-43.45,-43.45,-43.45,-43.55,-43.5,-43.5
