16.312259197235107,0.2
26.442442893981934,0.4
43.93271541595459,0.6
51.790029525756836,0.8
59.36401319503784,1.0
63.98838138580322,1.2
71.56429195404053,1.4
79.96759557723999,1.6
84.5944185256958,1.8
99.62917375564575,2.0
102.79169750213623,2.2
113.87516593933105,2.4
119.55286026000977,2.6
136.00510215759277,2.8
142.63785552978516,3.0
154.96076250076294,3.2
156.91058683395386,3.4
167.3404049873352,3.6
173.98859977722168,3.8
190.36748886108398,4.0
198.9836778640747,4.2
213.17486953735352,4.4
220.6910843849182,4.6
232.27749729156494,4.8
240,5.0
250,5.2
260,5.4
280,5.6
552.65299034118652,6
